"z"	"x"	"y"
1.37440495045026	0.318660825368375	1.75222016473857
2.0509351633257	0.46254421258288	0.978184116698473
3.98080943480188	3.79828714424558	0.468882610688599
4.94248498711811	3.31644313468552	2.98617321055467
4.45688311282953	4.48213866897066	3.93447635605499
3.82811728824655	0.0453386428071046	1.713589889424
2.19977444758292	-0.464787919812421	2.60877261471547
2.44276613843618	3.3089356504346	3.66805879922541
5.19276934233652	2.83066560407309	2.81256239142444
4.72313591600109	4.41001453111109	4.67549687651688
1.0706426336774	1.08650422694854	-0.22910118023925
3.08368799521131	3.2096988681265	-0.141499645340394
3.48576383995864	2.81344763401809	2.3702667792134
4.13761361546803	4.33272613418033	4.53372437807549
4.81785957635461	5.34208614796998	6.3752658853751
-0.0395180365461316	2.81098950758243	0.378983176689812
2.61759994667999	2.67520554467119	2.04110226341436
0.305452365947668	1.4234534521074	4.4952038580791
2.0472085104926	3.38029305731085	4.95051853098228
6.65841966867235	3.98908445590636	5.31574048488366
1.45540106690362	1.62375476904792	0.936031406438428
3.44358020114965	1.95107183554476	2.33631499949159
3.27830450226636	1.31977086321925	2.77383262578761
4.5986998045141	2.78431059976212	3.08676599519706
5.45995374905577	5.38908738253308	5.86785915394266
2.44614343926998	0.763316258680065	1.21547601134577
2.24790321028226	2.3778975008811	1.54911528855775
2.44756998139588	3.02280421882229	3.52322036702461
4.10529939404893	3.44475227646033	2.88406345805927
5.88353743428093	4.69968811515835	5.08752621446802
1.5558029955619	0.359619510791197	1.35735552593704
2.4294299239224	0.644457776890182	1.68685125284922
3.39955962200785	4.15676537699735	2.25725559250903
4.90343489003835	6.1537582568273	3.05632481308763
5.54786103998386	7.03042246969716	4.65776299069185
3.06162392476799	1.04984094886224	0.474619178797756
2.46021362694542	3.67208247256482	3.72611909790027
2.03163779030355	3.58674526802093	5.12657619616814
3.52401214705097	3.02352699257309	4.14967513707702
3.13638695922769	5.11701712397109	6.0955171090384
0.381546197405141	2.33100978730686	0.624331715036888
3.50576676952224	0.942888846833509	0.864837037924594
